code_commune,commune_labellisee,nom,code_departement,departement,fleurs,geo_point,url,adresse_ligne3,adresse_ligne4,adresse_ligne5,adresses_codepostal,adresses_commune,
94001,Ablon-sur-Seine,Ablon-sur-Seine,94,Val-de-Marne,1,48.7251014709,2.42164993286,http://www.ablon-sur-seine.fr,,16 rue du Maréchal-Foch,,94480,Ablon-sur-Seine
94069,Saint-Maurice,Saint-Maurice,94,Val-de-Marne,2,48.8183614,2.4228634,http://www.ville-saint-maurice.com,,55 rue du Maréchal-Leclerc,,94410,Saint-Maurice
94077,Villeneuve-le-Roi,Villeneuve-le-Roi,94,Val-de-Marne,2,48.7350120544,2.40797591209,http://www.villeneuve-le-roi.fr,,Place de la Vieille-Église,,94290,Villeneuve-le-Roi
95218,Éragny,Éragny,95,Val-d'Oise,3,49.02458,2.094985,http://www.eragny.fr,,Place Louis-Don-Marino,CS 70021,95610,Éragny-sur-Oise
95306,Herblay-sur-Seine,Herblay-sur-Seine,95,Val-d'Oise,1,48.989964,2.165264,http://www.herblay.fr,,43 rue du Général-de-Gaulle,,95220,Herblay
77063,La Celle-sur-Morin,La Celle-sur-Morin,77,Seine-et-Marne,3,48.806098938,2.96740007401,http://www.la-celle-sur-morin.fr/,,1 rue d'En-Bas,,77515,La Celle-sur-Morin
77095,Charny,Charny,77,Seine-et-Marne,2,48.9710006714,2.76107001305,http://www.charny77.fr/,,1 rue de l'Église,,77410,Charny
77122,Combs-la-Ville,Combs-la-Ville,77,Seine-et-Marne,2,48.66602,2.55769,https://www.combs-la-ville.fr/,Hôtel de Ville,Esplanade Charles-de-Gaulle,BP 116,77385,Combs-la-Ville Cedex
77164,Échouboulains,Échouboulains,77,Seine-et-Marne,1,48.4637985229,2.94492006302,https://www.echouboulains77.com/,,3 place de la Résistance,,77830,Échouboulains
77184,Flagy,Flagy,77,Seine-et-Marne,2,48.308254,2.9147532,,,Place de l'Église,,77940,Flagy
77266,Machault,Machault,77,Seine-et-Marne,1,48.4552001953,2.82896995544,http://www.mairie-machault77.fr/,,24 rue des Trois-Maillets,,77133,Machault
